Architecture    Offer                   Publisher                Sku                         Urn                                                                                   Version
--------------  ----------------------  -----------------------  --------------------------  ------------------------------------------------------------------------------------  ---------------------
x64             office-365              MicrosoftWindowsDesktop  20h2-evd-o365pp             MicrosoftWindowsDesktop:office-365:20h2-evd-o365pp:19042.2846.230411                  19042.2846.230411
x64             office-365              MicrosoftWindowsDesktop  20h2-evd-o365pp             MicrosoftWindowsDesktop:office-365:20h2-evd-o365pp:19042.2965.230509                  19042.2965.230509
x64             office-365              MicrosoftWindowsDesktop  20h2-evd-o365pp-g2          MicrosoftWindowsDesktop:office-365:20h2-evd-o365pp-g2:19042.2846.230411               19042.2846.230411
x64             office-365              MicrosoftWindowsDesktop  20h2-evd-o365pp-g2          MicrosoftWindowsDesktop:office-365:20h2-evd-o365pp-g2:19042.2965.230509               19042.2965.230509
x64             office-365              MicrosoftWindowsDesktop  rs5-evd-o365pp-g2           MicrosoftWindowsDesktop:office-365:rs5-evd-o365pp-g2:17763.2114.2108100754            17763.2114.2108100754
x64             office-365              MicrosoftWindowsDesktop  rs5-evd-o365pp-g2           MicrosoftWindowsDesktop:office-365:rs5-evd-o365pp-g2:17763.2183.2109150158            17763.2183.2109150158
x64             office-365              MicrosoftWindowsDesktop  win10-21h2-avd-m365         MicrosoftWindowsDesktop:office-365:win10-21h2-avd-m365:19044.4412.240514              19044.4412.240514
x64             office-365              MicrosoftWindowsDesktop  win10-21h2-avd-m365         MicrosoftWindowsDesktop:office-365:win10-21h2-avd-m365:19044.4529.240611              19044.4529.240611
x64             office-365              MicrosoftWindowsDesktop  win10-21h2-avd-m365-g2      MicrosoftWindowsDesktop:office-365:win10-21h2-avd-m365-g2:19044.4412.240514           19044.4412.240514
x64             office-365              MicrosoftWindowsDesktop  win10-21h2-avd-m365-g2      MicrosoftWindowsDesktop:office-365:win10-21h2-avd-m365-g2:19044.4529.240611           19044.4529.240611
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365:19045.5371.250115              19045.5371.250115
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365:19045.5487.250211              19045.5487.250211
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365:19045.5608.250311              19045.5608.250311
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365:19045.5737.250408              19045.5737.250408
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365:19045.5854.250513              19045.5854.250513
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365-g2      MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365-g2:19045.5371.250115           19045.5371.250115
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365-g2      MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365-g2:19045.5487.250211           19045.5487.250211
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365-g2      MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365-g2:19045.5608.250311           19045.5608.250311
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365-g2      MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365-g2:19045.5737.250408           19045.5737.250408
x64             office-365              MicrosoftWindowsDesktop  win10-22h2-avd-m365-g2      MicrosoftWindowsDesktop:office-365:win10-22h2-avd-m365-g2:19045.5854.250513           19045.5854.250513
x64             office-365              MicrosoftWindowsDesktop  win11-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-22h2-avd-m365:22621.4751.250115              22621.4751.250115
x64             office-365              MicrosoftWindowsDesktop  win11-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-22h2-avd-m365:22621.4890.250211              22621.4890.250211
x64             office-365              MicrosoftWindowsDesktop  win11-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-22h2-avd-m365:22621.5039.250311              22621.5039.250311
x64             office-365              MicrosoftWindowsDesktop  win11-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-22h2-avd-m365:22621.5192.250410              22621.5192.250410
x64             office-365              MicrosoftWindowsDesktop  win11-22h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-22h2-avd-m365:22621.5335.250513              22621.5335.250513
x64             office-365              MicrosoftWindowsDesktop  win11-23h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-23h2-avd-m365:22631.4751.250115              22631.4751.250115
x64             office-365              MicrosoftWindowsDesktop  win11-23h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-23h2-avd-m365:22631.4890.250211              22631.4890.250211
x64             office-365              MicrosoftWindowsDesktop  win11-23h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-23h2-avd-m365:22631.5039.250311              22631.5039.250311
x64             office-365              MicrosoftWindowsDesktop  win11-23h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-23h2-avd-m365:22631.5192.250410              22631.5192.250410
x64             office-365              MicrosoftWindowsDesktop  win11-23h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-23h2-avd-m365:22631.5335.250513              22631.5335.250513
x64             office-365              MicrosoftWindowsDesktop  win11-24h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-24h2-avd-m365:26100.2894.250115              26100.2894.250115
x64             office-365              MicrosoftWindowsDesktop  win11-24h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-24h2-avd-m365:26100.3194.250214              26100.3194.250214
x64             office-365              MicrosoftWindowsDesktop  win11-24h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-24h2-avd-m365:26100.3476.250312              26100.3476.250312
x64             office-365              MicrosoftWindowsDesktop  win11-24h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-24h2-avd-m365:26100.3775.250408              26100.3775.250408
x64             office-365              MicrosoftWindowsDesktop  win11-24h2-avd-m365         MicrosoftWindowsDesktop:office-365:win11-24h2-avd-m365:26100.4061.250513              26100.4061.250513
x64             Windows-10              MicrosoftWindowsDesktop  19h1-ent-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-ent-gensecond:18362.1198.2011031735           18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-ent-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-ent-gensecond:18362.1256.2012032308           18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-entn-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-entn-gensecond:18362.1198.2011031735          18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-entn-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-entn-gensecond:18362.1256.2012032308          18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-pro-gensecond:18362.1198.2011031735           18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-pro-gensecond:18362.1256.2012032308           18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-zh-cn-gensecond    MicrosoftWindowsDesktop:Windows-10:19h1-pro-zh-cn-gensecond:18362.1198.2011031735     18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-zh-cn-gensecond    MicrosoftWindowsDesktop:Windows-10:19h1-pro-zh-cn-gensecond:18362.1256.2012032308     18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pron-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-pron-gensecond:18362.1198.2011031735          18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pron-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-pron-gensecond:18362.1256.2012032308          18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pro-g2                 MicrosoftWindowsDesktop:Windows-10:19h2-pro-g2:18363.1500.2104092145                  18363.1500.2104092145
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pro-g2                 MicrosoftWindowsDesktop:Windows-10:19h2-pro-g2:18363.1556.2105042120                  18363.1556.2105042120
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pron-g2                MicrosoftWindowsDesktop:Windows-10:19h2-pron-g2:18363.1500.2104092145                 18363.1500.2104092145
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pron-g2                MicrosoftWindowsDesktop:Windows-10:19h2-pron-g2:18363.1556.2105042120                 18363.1556.2105042120
x64             Windows-10              MicrosoftWindowsDesktop  20h2-ent                    MicrosoftWindowsDesktop:Windows-10:20h2-ent:19042.2846.230329                         19042.2846.230329
x64             Windows-10              MicrosoftWindowsDesktop  20h2-ent                    MicrosoftWindowsDesktop:Windows-10:20h2-ent:19042.2965.230505                         19042.2965.230505
